_link,_link_main,weekday,period_begin,period_end
2647.location.opening_times.regular_hours.0,2647,1,18:00,23:59
2647.location.opening_times.regular_hours.1,2647,2,18:00,23:59
2647.location.opening_times.regular_hours.2,2647,3,18:00,23:59
2647.location.opening_times.regular_hours.3,2647,4,18:00,23:59
2647.location.opening_times.regular_hours.4,2647,5,18:00,23:59
2647.location.opening_times.regular_hours.5,2647,6,00:00,23:59
2647.location.opening_times.regular_hours.6,2647,7,00:00,23:59
2648.location.opening_times.regular_hours.0,2648,1,18:00,23:59
2648.location.opening_times.regular_hours.1,2648,2,18:00,23:59
2648.location.opening_times.regular_hours.2,2648,3,18:00,23:59
2648.location.opening_times.regular_hours.3,2648,4,18:00,23:59
2648.location.opening_times.regular_hours.4,2648,5,18:00,23:59
2648.location.opening_times.regular_hours.5,2648,6,00:00,23:59
2648.location.opening_times.regular_hours.6,2648,7,00:00,23:59
2709.location.opening_times.regular_hours.0,2709,1,18:00,23:59
2709.location.opening_times.regular_hours.1,2709,2,18:00,23:59
2709.location.opening_times.regular_hours.2,2709,3,18:00,23:59
2709.location.opening_times.regular_hours.3,2709,4,18:00,23:59
2709.location.opening_times.regular_hours.4,2709,5,18:00,23:59
2709.location.opening_times.regular_hours.5,2709,6,00:00,23:59
2709.location.opening_times.regular_hours.6,2709,7,00:00,23:59
2710.location.opening_times.regular_hours.0,2710,1,18:00,23:59
2710.location.opening_times.regular_hours.1,2710,2,18:00,23:59
2710.location.opening_times.regular_hours.2,2710,3,18:00,23:59
2710.location.opening_times.regular_hours.3,2710,4,18:00,23:59
2710.location.opening_times.regular_hours.4,2710,5,18:00,23:59
2710.location.opening_times.regular_hours.5,2710,6,00:00,23:59
2710.location.opening_times.regular_hours.6,2710,7,00:00,23:59
2781.location.opening_times.regular_hours.0,2781,1,08:00,19:00
2781.location.opening_times.regular_hours.1,2781,2,08:00,19:00
2781.location.opening_times.regular_hours.2,2781,3,08:00,19:00
2781.location.opening_times.regular_hours.3,2781,4,08:00,19:00
2781.location.opening_times.regular_hours.4,2781,5,08:00,19:00
2781.location.opening_times.regular_hours.5,2781,6,08:00,19:00
2781.location.opening_times.regular_hours.6,2781,7,00:00,00:00
2782.location.opening_times.regular_hours.0,2782,1,08:00,19:00
